1-(1z-alkenyl),2-acylglycerophosphoglycerophosphomonoradylglycerols [GP1206]	LION:0000944
glycerophosphoglycerophosphoglycerols [GP12]	dialkylglycerophosphoglycerophosphodiradylglycerols [GP1212]
dialkylglycerophosphoglycerophosphodiradylglycerols [GP1212]	LION:0000945
glycerophosphoglycerophosphoglycerols [GP12]	dialkylglycerophosphoglycerophosphomonoradylglycerols [GP1213]
dialkylglycerophosphoglycerophosphomonoradylglycerols [GP1213]	LION:0000946
glycerophosphoglycerophosphoglycerols [GP12]	monoacylglycerophosphoglycerophosphomonoradylglycerols [GP1207]
monoacylglycerophosphoglycerophosphomonoradylglycerols [GP1207]	LION:0000947
glycerophosphoglycerophosphoglycerols [GP12]	monoalkylglycerophosphoglycerophosphodiradylglycerols [GP1208]
monoalkylglycerophosphoglycerophosphodiradylglycerols [GP1208]	LION:0000948
glycerophosphoglycerophosphoglycerols [GP12]	monoalkylglycerophosphoglycerophosphomonoradylglycerols [GP1209]
monoalkylglycerophosphoglycerophosphomonoradylglycerols [GP1209]	LION:0000949
glycerophosphoglycerophosphoglycerols [GP12]	1z-alkenylglycerophosphoglycerophosphodiradylglycerols [GP1210]
1z-alkenylglycerophosphoglycerophosphodiradylglycerols [GP1210]	LION:0000950
glycerophosphoglycerophosphoglycerols [GP12]	1z-alkenylglycerophosphoglycerophosphomonoradylglycerols [GP1211]
1z-alkenylglycerophosphoglycerophosphomonoradylglycerols [GP1211]	LION:0000951
glycerophospholipids [GP]	cdp-glycerols [GP13]
cdp-glycerols [GP13]	LION:0000022
glycerophospholipids [GP]	glycosylglycerophospholipids [GP14]
glycosylglycerophospholipids [GP14]	LION:0000023
glycerophospholipids [GP]	glycerophosphoinositolglycans [GP15]
glycerophosphoinositolglycans [GP15]	LION:0000024
glycerophospholipids [GP]	glycerophosphonocholines [GP16]
glycerophosphonocholines [GP16]	LION:0000025
glycerophospholipids [GP]	glycerophosphonoethanolamines [GP17]
glycerophosphonoethanolamines [GP17]	LION:0000026
glycerophospholipids [GP]	di-glycerol tetraether phospholipids (caldarchaeols) [GP18]
di-glycerol tetraether phospholipids (caldarchaeols) [GP18]	LION:0000027
glycerophospholipids [GP]	glycerol-nonitol tetraether phospholipids [GP19]
glycerol-nonitol tetraether phospholipids [GP19]	LION:0000028
glycerophospholipids [GP]	oxidized glycerophospholipids [GP20]
oxidized glycerophospholipids [GP20]	LION:0000029
glycerophospholipids [GP]	lysoglycerophospholipids
lysoglycerophospholipids	monoacylglycerophosphocholines [GP0105]
monoacylglycerophosphocholines [GP0105]	LION:0000034
lysoglycerophospholipids	monoacylglycerophosphoethanolamines [GP0205]
monoacylglycerophosphoethanolamines [GP0205]	LION:0000042
lysoglycerophospholipids	monoacylglycerophosphoinositols [GP0605]
monoacylglycerophosphoinositols [GP0605]	LION:0000046
lysoglycerophospholipids	monoacylglycerophosphoserines [GP0305]
monoacylglycerophosphoserines [GP0305]	LION:0000056
lysoglycerophospholipids	monoacylglycerophosphoglycerols [GP0405]
monoacylglycerophosphoglycerols [GP0405]	LION:0000063
lysoglycerophospholipids	monoacylglycerophosphates [GP1005]
